"","datetime","date","do","month_yr"
"18986",2019-03-03 06:00:00,2019-03-03,9.45,"2019-03"
"18987",2019-03-03 07:00:00,2019-03-03,9.6,"2019-03"
"18988",2019-03-03 08:00:00,2019-03-03,9.8,"2019-03"
"18989",2019-03-03 09:00:00,2019-03-03,9.7,"2019-03"
"18990",2019-03-03 10:00:00,2019-03-03,9.1,"2019-03"
"18991",2019-03-03 11:00:00,2019-03-03,9.3,"2019-03"
"18992",2019-03-03 12:00:00,2019-03-03,9.7,"2019-03"
"18993",2019-03-03 13:00:00,2019-03-03,9.7,"2019-03"
"18994",2019-03-03 14:00:00,2019-03-03,9.7,"2019-03"
"18995",2019-03-03 15:00:00,2019-03-03,9.8,"2019-03"
"18996",2019-03-03 16:00:00,2019-03-03,9.8,"2019-03"
"18997",2019-03-03 17:00:00,2019-03-03,9.75,"2019-03"
"18998",2019-03-03 18:00:00,2019-03-03,9.7,"2019-03"
"18999",2019-03-03 19:00:00,2019-03-03,9.6,"2019-03"
"19000",2019-03-03 20:00:00,2019-03-03,9.7,"2019-03"
"19001",2019-03-03 21:00:00,2019-03-03,9.6,"2019-03"
"19002",2019-03-03 22:00:00,2019-03-03,9.4,"2019-03"
"19003",2019-03-03 23:00:00,2019-03-03,9.4,"2019-03"
"19004",2019-03-04 00:00:00,2019-03-04,9.4,"2019-03"
"19005",2019-03-04 01:00:00,2019-03-04,9.5,"2019-03"
"19006",2019-03-04 02:00:00,2019-03-04,9.5,"2019-03"
"19007",2019-03-04 03:00:00,2019-03-04,9.5,"2019-03"
"19008",2019-03-04 04:00:00,2019-03-04,9.5,"2019-03"
"19009",NA,NA,NA,NA
"19010",2019-03-04 06:00:00,2019-03-04,9.4,"2019-03"
"19011",2019-03-04 07:00:00,2019-03-04,9.4,"2019-03"
"19012",2019-03-04 08:00:00,2019-03-04,9.5,"2019-03"
"19013",2019-03-04 09:00:00,2019-03-04,9.7,"2019-03"
"19014",2019-03-04 10:00:00,2019-03-04,9.5,"2019-03"
"19015",2019-03-04 11:00:00,2019-03-04,9.2,"2019-03"
"19016",2019-03-04 12:00:00,2019-03-04,9.35,"2019-03"
"19017",2019-03-04 13:00:00,2019-03-04,9.65,"2019-03"
"19018",2019-03-04 14:00:00,2019-03-04,9.6,"2019-03"
"19019",2019-03-04 15:00:00,2019-03-04,9.6,"2019-03"
"19020",2019-03-04 16:00:00,2019-03-04,9.7,"2019-03"
"19021",2019-03-04 17:00:00,2019-03-04,9.7,"2019-03"
"19022",2019-03-04 18:00:00,2019-03-04,9.6,"2019-03"
"19023",2019-03-04 19:00:00,2019-03-04,9.6,"2019-03"
"19024",2019-03-04 20:00:00,2019-03-04,9.5,"2019-03"
"19025",2019-03-04 21:00:00,2019-03-04,9.5,"2019-03"
"19026",2019-03-04 22:00:00,2019-03-04,9.4,"2019-03"
"19027",2019-03-04 23:00:00,2019-03-04,9.4,"2019-03"
"19028",2019-03-05 00:00:00,2019-03-05,9.3,"2019-03"
"19029",2019-03-05 01:00:00,2019-03-05,9.35,"2019-03"
"19030",2019-03-05 02:00:00,2019-03-05,9.3,"2019-03"
"19031",2019-03-05 03:00:00,2019-03-05,9.3,"2019-03"
"19032",2019-03-05 04:00:00,2019-03-05,9.3,"2019-03"
"19033",2019-03-05 05:00:00,2019-03-05,9.2,"2019-03"
"19034",2019-03-05 06:00:00,2019-03-05,9.1,"2019-03"
"19035",2019-03-05 07:00:00,2019-03-05,9.2,"2019-03"
"19036",NA,NA,NA,NA
"19037",2019-03-05 09:00:00,2019-03-05,9.6,"2019-03"
"19038",2019-03-05 10:00:00,2019-03-05,9.5,"2019-03"
"19039",2019-03-05 11:00:00,2019-03-05,9.1,"2019-03"
"19040",2019-03-05 12:00:00,2019-03-05,9.05,"2019-03"
"19041",2019-03-05 13:00:00,2019-03-05,9.45,"2019-03"
"19042",2019-03-05 14:00:00,2019-03-05,9.5,"2019-03"
"19043",2019-03-05 15:00:00,2019-03-05,9.6,"2019-03"
"19044",2019-03-05 16:00:00,2019-03-05,9.4,"2019-03"
"19045",2019-03-05 17:00:00,2019-03-05,9.4,"2019-03"
"19046",2019-03-05 18:00:00,2019-03-05,9.35,"2019-03"
"19047",2019-03-05 19:00:00,2019-03-05,9.3,"2019-03"
"19048",2019-03-05 20:00:00,2019-03-05,9.4,"2019-03"
"19049",2019-03-05 21:00:00,2019-03-05,9.4,"2019-03"
"19050",2019-03-05 22:00:00,2019-03-05,9.3,"2019-03"
"19051",2019-03-05 23:00:00,2019-03-05,9.4,"2019-03"
"19052",2019-03-06 00:00:00,2019-03-06,9,"2019-03"
"19053",2019-03-06 01:00:00,2019-03-06,9,"2019-03"
"19054",2019-03-06 02:00:00,2019-03-06,9.15,"2019-03"
"19055",2019-03-06 03:00:00,2019-03-06,9.4,"2019-03"
"19056",2019-03-06 04:00:00,2019-03-06,9.4,"2019-03"
"19057",2019-03-06 05:00:00,2019-03-06,9.45,"2019-03"
"19058",2019-03-06 06:00:00,2019-03-06,9.5,"2019-03"
"19059",2019-03-06 07:00:00,2019-03-06,9.4,"2019-03"
"19060",NA,NA,NA,NA
"19061",2019-03-06 09:00:00,2019-03-06,9.8,"2019-03"
"19062",2019-03-06 10:00:00,2019-03-06,9.7,"2019-03"
"19063",2019-03-06 11:00:00,2019-03-06,9.4,"2019-03"
"19064",2019-03-06 12:00:00,2019-03-06,9.1,"2019-03"
"19065",2019-03-06 13:00:00,2019-03-06,9.1,"2019-03"
"19066",2019-03-06 14:00:00,2019-03-06,9.45,"2019-03"
"19067",2019-03-06 15:00:00,2019-03-06,9.7,"2019-03"
"19068",2019-03-06 16:00:00,2019-03-06,9.8,"2019-03"
"19069",2019-03-06 17:00:00,2019-03-06,10,"2019-03"
"19070",2019-03-06 18:00:00,2019-03-06,10.05,"2019-03"
"19071",2019-03-06 19:00:00,2019-03-06,10,"2019-03"
"19072",2019-03-06 20:00:00,2019-03-06,9.95,"2019-03"
"19073",2019-03-06 21:00:00,2019-03-06,9.9,"2019-03"
"19074",2019-03-06 22:00:00,2019-03-06,9.7,"2019-03"
"19075",2019-03-06 23:00:00,2019-03-06,9.7,"2019-03"
"19076",2019-03-07 00:00:00,2019-03-07,9.6,"2019-03"
"19077",2019-03-07 01:00:00,2019-03-07,9.6,"2019-03"
"19078",2019-03-07 02:00:00,2019-03-07,9.6,"2019-03"
"19079",2019-03-07 03:00:00,2019-03-07,9.6,"2019-03"
"19080",NA,NA,NA,NA
"19081",2019-03-07 05:00:00,2019-03-07,9.7,"2019-03"
"19082",2019-03-07 06:00:00,2019-03-07,9.7,"2019-03"
"19083",2019-03-07 07:00:00,2019-03-07,9.7,"2019-03"
"19084",2019-03-07 08:00:00,2019-03-07,9.7,"2019-03"
"19085",2019-03-07 09:00:00,2019-03-07,9.75,"2019-03"
"19086",2019-03-07 10:00:00,2019-03-07,9.6,"2019-03"
"19087",2019-03-07 11:00:00,2019-03-07,9.6,"2019-03"
"19088",2019-03-07 12:00:00,2019-03-07,9.5,"2019-03"
"19089",2019-03-07 13:00:00,2019-03-07,9.55,"2019-03"
"19090",2019-03-07 14:00:00,2019-03-07,9.7,"2019-03"
"19091",2019-03-07 15:00:00,2019-03-07,9.8,"2019-03"
"19092",2019-03-07 16:00:00,2019-03-07,9.85,"2019-03"
"19093",2019-03-07 17:00:00,2019-03-07,9.9,"2019-03"
