"","datetime","date","air_temperature","air_temperature_qc_agg","air_temperature_qc_tests"
"362",2017-01-16 01:00:00,2017-01-16,8.284405,1,NA
"363",2017-01-16 02:00:00,2017-01-16,8.114803,1,NA
"364",2017-01-16 03:00:00,2017-01-16,7.910999,1,NA
"365",2017-01-16 04:00:00,2017-01-16,7.650755,1,NA
"366",2017-01-16 05:00:00,2017-01-16,7.443504,1,NA
"367",2017-01-16 06:00:00,2017-01-16,6.84898,1,NA
"368",2017-01-16 07:00:00,2017-01-16,6.679111,1,NA
"369",2017-01-16 08:00:00,2017-01-16,6.441299,1,NA
"370",2017-01-16 09:00:00,2017-01-16,6.883152,1,NA
"371",2017-01-16 10:00:00,2017-01-16,6.7810535,1,NA
"372",2017-01-16 11:00:00,2017-01-16,6.670641,1,NA
"373",2017-01-16 12:00:00,2017-01-16,7.1292785,1,NA
"374",2017-01-16 13:00:00,2017-01-16,6.916946,1,NA
"375",2017-01-16 14:00:00,2017-01-16,6.305714,1,NA
"376",2017-01-16 15:00:00,2017-01-16,6.118595,1,NA
"377",2017-01-16 16:00:00,2017-01-16,6.5429245,1,NA
"378",2017-01-16 17:00:00,2017-01-16,6.5331555,1,NA
"379",2017-01-16 18:00:00,2017-01-16,5.363426,1,NA
"380",2017-01-16 19:00:00,2017-01-16,6.907099,1,NA
"381",2017-01-16 20:00:00,2017-01-16,8.107357,1,NA
"382",2017-01-16 21:00:00,2017-01-16,8.9730205,1,NA
"383",2017-01-16 22:00:00,2017-01-16,9.7029495,1,NA
"384",2017-01-16 23:00:00,2017-01-16,9.974548,1,NA
"385",2017-01-17 00:00:00,2017-01-17,9.15995,1,NA
"386",2017-01-17 01:00:00,2017-01-17,8.708021,1,NA
"387",2017-01-17 02:00:00,2017-01-17,8.2450845,1,NA
"388",2017-01-17 03:00:00,2017-01-17,7.944939,1,NA
"389",2017-01-17 04:00:00,2017-01-17,7.707283,1,NA
"390",2017-01-17 05:00:00,2017-01-17,7.387291,1,NA
"391",2017-01-17 06:00:00,2017-01-17,7.0613115,1,NA
"392",2017-01-17 07:00:00,2017-01-17,6.6026745,1,NA
"393",2017-01-17 08:00:00,2017-01-17,6.40733,1,NA
"394",2017-01-17 09:00:00,2017-01-17,6.084663,1,NA
