"","thalli","date","run","start_time","end_time","tank","treatment","hach_start_unit","hach_end_unit","hach_period","unit_ph_hach","unit_temp_hach","unit_sal_hach","unit_do_hach","par","thalli_weight","discrete_collection_time","header_hach_time","header_pH_hach","header_temp_hach","header_sal_hach","header_do_hach","repro_apices","veg_apices","wwr","wwv","wwrecp","concept","oo_in_1","oo_in_2","oo_in_3","dwr","dwv","dwrecp","oo_disc_1","oo_disc_2","oo_disc_3","oo_disc_4","ph_probe_location","hobo_logger_location","notes","unit_ph_corrected","avg_disc_oo","unit_avg_sal","unit_avg_ph_c","unit_avg_do","unit_avg_temp"
"36","C4","11/12/2019",1,"11:23","16:00","C",4,"12:39","13:12","start",8.05,15.9,30.4,10.32,762,30.913,NA,NA,NA,NA,NA,NA,81,30,17.994,11.349,0.374,272,63,40,26,2.798,2.724,0.062,152,97,88,62,"","","",8.01282051282051,99.75,30.5666666666667,7.44871794871795,9.59333333333333,16.5666666666667
"37","D1","11/12/2019",1,"11:23","16:00","D",1,"15:29","15:55","end",7.95,16.4,27,8.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.88461538461539,NA,26.9666666666667,7.85897435897436,9.19,16.5333333333333
"38","D1","11/12/2019",1,"11:23","16:00","D",1,"14:05","14:41","mid",7.92,16.7,27,9.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.84615384615385,NA,26.9666666666667,7.85897435897436,9.19,16.5333333333333
"39","D1","11/12/2019",1,"11:23","16:00","D",1,"12:39","13:12","start",7.92,16.5,26.9,9.48,740,31.183,NA,NA,NA,NA,NA,NA,49,0,27.612,4.283,1.084,344,37,62,28,3.86,1.154,0.16,105,6,135,36,"","","",7.84615384615385,70.5,26.9666666666667,7.85897435897436,9.19,16.5333333333333
"40","D2","11/12/2019",1,"11:23","16:00","D",2,"12:39","13:12","start",6.6,16.3,26.9,9.56,753,31.15,NA,NA,NA,NA,NA,NA,46,0,25.288,5.579,1.369,414,86,51,30,3.317,1.5,0.176,126,83,155,86,"","","",6.15384615384615,112.5,26.9333333333333,6.06837606837607,9.24666666666667,16.4
"41","D2","11/12/2019",1,"11:23","16:00","D",2,"15:29","15:55","end",6.52,16.3,27,9.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",6.05128205128205,NA,26.9333333333333,6.06837606837607,9.24666666666667,16.4
"42","D2","11/12/2019",1,"11:23","16:00","D",2,"14:05","14:41","mid",6.48,16.6,26.9,9.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",6,NA,26.9333333333333,6.06837606837607,9.24666666666667,16.4
"43","D3","11/12/2019",1,"11:23","16:00","D",3,"15:29","15:55","end",8.01,16.6,30.6,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.96153846153846,NA,30.5333333333333,7.98717948717949,9.15333333333333,16.7
"44","D3","11/12/2019",1,"11:23","16:00","D",3,"14:05","14:41","mid",8.04,16.9,30.5,9.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8,NA,30.5333333333333,7.98717948717949,9.15333333333333,16.7
"45","D3","11/12/2019",1,"11:23","16:00","D",3,"12:39","13:12","start",8.04,16.6,30.5,9.25,747,30.85,NA,NA,NA,NA,NA,NA,44,0,25.732,4.769,1.197,288,26,53,60,3.991,1.39,0.194,NA,38,16,7,"","","",8,20.3333333333333,30.5333333333333,7.98717948717949,9.15333333333333,16.7
