source,scientificName,observed_on,latitude,longitude,type,references
iNaturalist,Fucus distichus L.,6/14/2018 9:14,37.793736,-122.276894,wrack,https://www.inaturalist.org/observations/13430468
iNaturalist,Fucus distichus L.,6/2/2018 14:43,37.859692,-122.315522,attached,https://www.inaturalist.org/observations/13060293
iNaturalist,Fucus distichus L.,6/2/2018 14:10,37.859172,-122.31627,attached,https://www.inaturalist.org/observations/13060657
iNaturalist,Fucus distichus L.,4/29/2018 19:37,37.806965,-122.425461,attached,https://www.inaturalist.org/observations/11979832
iNaturalist,Fucus distichus L.,4/30/2018 12:17,37.82457,-122.3181,attached,https://www.inaturalist.org/observations/11916015
iNaturalist,Fucus distichus L.,4/30/2018 12:52,37.825067,-122.317543,wrack,https://www.inaturalist.org/observations/11911457
iNaturalist,Fucus distichus L.,4/29/2018 16:20,37.870138,-122.309862,attached,https://www.inaturalist.org/observations/11821053
iNaturalist,Fucus distichus L.,4/29/2018 10:19,37.70903,-122.382042,attached,https://www.inaturalist.org/observations/11807133
iNaturalist,Fucus distichus L.,12/11/2016 16:27,38.012564,-122.36442,wrack,https://www.inaturalist.org/observations/4760613
iNaturalist,Fucus distichus L.,4/8/2018 11:25,37.738205,-122.368645,attached,https://www.inaturalist.org/observations/10713006
iNaturalist,Fucus distichus L.,4/4/2018 10:18,37.812675,-122.368653,attached,https://www.inaturalist.org/observations/10671439
iNaturalist,Fucus distichus L.,4/3/2018 15:58,37.800105,-122.327117,wrack,https://www.inaturalist.org/observations/10630932
iNaturalist,Fucus distichus L.,4/4/2018 10:33,37.813083,-122.365188,attached,https://www.inaturalist.org/observations/10617629
iNaturalist,Fucus distichus L.,4/4/2018 11:24,37.812688,-122.368665,attached,https://www.inaturalist.org/observations/10618170
iNaturalist,Fucus distichus L.,4/4/2018 10:08,37.812712,-122.368684,attached,https://www.inaturalist.org/observations/10616302
iNaturalist,Fucus distichus L.,1/30/2018 14:01,37.814072,-122.362962,attached,https://www.inaturalist.org/observations/9763501
iNaturalist,Fucus distichus L.,1/29/2018 14:38,37.795084,-122.279744,attached,https://www.inaturalist.org/observations/9660774
iNaturalist,Fucus distichus L.,12/24/2017 15:00,37.805113,-122.333237,attached,https://www.inaturalist.org/observations/9254963
iNaturalist,Fucus distichus L.,4/25/2015 9:28,37.590195,-122.324766,unclear,https://www.inaturalist.org/observations/1422666
iNaturalist,Fucus distichus L.,7/27/2017 8:33,37.898987,-122.325369,attached,https://www.inaturalist.org/observations/7232540
iNaturalist,Fucus distichus L.,4/1/2017 11:03,37.745183,-122.375175,attached,https://www.inaturalist.org/observations/5714574
iNaturalist,Fucus distichus L.,4/5/2017 14:05,37.81317,-122.371484,attached,https://www.inaturalist.org/observations/5586328
iNaturalist,Fucus distichus L.,4/25/2015 11:02,37.590705,-122.32423,attached,https://www.inaturalist.org/observations/1423170
iNaturalist,Fucus distichus L.,8/8/2017 8:24,37.745008,-122.374142,attached,https://www.inaturalist.org/observations/7407366
iNaturalist,Fucus distichus L.,8/6/2017 15:58,37.591345,-122.320381,attached,https://www.inaturalist.org/observations/7385514
iNaturalist,Fucus distichus L.,5/22/2017 13:55,37.772622,-122.38685,attached,https://www.inaturalist.org/observations/6323714
iNaturalist,Fucus distichus L.,4/2/2017 9:28,37.671526,-122.381178,attached,https://www.inaturalist.org/observations/5544378
iNaturalist,Fucus distichus L.,4/1/2017 9:58,37.745308,-122.375475,wrack,https://www.inaturalist.org/observations/5530474
iNaturalist,Fucus distichus L.,4/1/2017 10:30,37.745656,-122.375363,attached,https://www.inaturalist.org/observations/5530112
iNaturalist,Fucus distichus L.,4/1/2017 9:34,37.745861,-122.374939,attached,https://www.inaturalist.org/observations/5528008
iNaturalist,Fucus distichus L.,7/8/2016 13:35,37.738012,-122.368357,attached,https://www.inaturalist.org/observations/3645261
